AuditType,Human
NETWORKS_LICENSE_LIMIT_EXCEEDED_ATTEMPTED,Attempted to exceed network license limit
NETWORKS_LICENSE_AVAILABLE,Network licenses available
IDENTITY_LICENSE_LIMIT_EXCEEDED_ATTEMPTED,Attempted to exceed identity license limit
IDENTITY_LICENSE_AVAILABLE,Identity licenses available
RPC_LICENSE_LIMIT_EXCEEDED_ATTEMPTED,Attempted to exceed RPC license limit
RPC_LICENSE_AVAILABLE,RPC licenses available
NETWORK_ANTI_TAMPERING,Network anti-tampering detected and handled
IDENTITY_ANTI_TAMPERING,Identity anti-tampering detected and handled
RPC_ANTI_TAMPERING,RPC anti-tampering detected and handled
INBOUND_AE_EXCLUSION_ADDED,Inbound AE exclusion created
OUTBOUND_AE_EXCLUSION_ADDED,Outbound AE exclusion created
INBOUND_AE_EXCLUSION_EDITED,Inbound AE exclusion edited
OUTBOUND_AE_EXCLUSION_EDITED,Outbound AE exclusion edited
K8S_CLUSTER_ADDED,Cluster added
K8S_CLUSTER_EDITED,Cluster edited
K8S_CLUSTER_DELETED,Cluster deleted
